,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
4/1/2002,,9119.4,9129.5,,5073.1,5080.8,,4046.3,4048.8,,6544.7,6513.6,,4346.1,4336,,2198.6,2177.5,,2574.7,2616,,727,744.7,,1847.7,1871.2,,59,59.1,,66.9,67,,51.4,51.5,,617.9,625700,,366,369.1,,251.9,256.6,,466.2,467.7,,299.1,299.4,,167.1,168.4,,151.8,157.9,,66.9,69.7,,84.8,88.2,,6.3,6.4,,6.7,6.8,,5.9,6,,6.6,6.7,,6.4,6.5,,7.1,7.2,,5.6,5.7,,8.4,8.6,,4.4,4.5,,9737.4,9755.2,,5439.2,5449.9,,4298.2,4305.3,,63,63.1,,71.7,71.9,,54.6,54.7,5696.4,2134.1,3562.3,15451.7,7584,7867.6
5/1/2002,,9135.1,9134.7,,5088.6,5084.5,,4046.5,4050.2,,6590.2,6557,,4379.2,4365.2,,2210.9,2191.8,,2544.9,2577.7,,709.3,719.3,,1835.5,1858.4,,59.1,59.1,,67,67,,51.4,51.4,,621.8,620900,,362.5,362.3,,259.3,258.6,,459.4,456.6,,295.8,294.6,,163.5,162,,162.4,164.3,,66.6,67.7,,95.8,96.6,,6.4,6.4,,6.6,6.7,,6,6,,6.5,6.5,,6.3,6.3,,6.9,6.9,,6,6,,8.6,8.6,,5,4.9,,9756.8,9755.5,,5451,5446.7,,4305.8,4308.8,,63.1,63.1,,71.8,71.8,,54.7,54.7,5710,2144.4,3565.6,15465.5,7591.1,7874.4
6/1/2002,,9161.1,9180.8,,5105.2,5109.2,,4056,4071.6,,6545,6509.4,,4357,4339,,2187.9,2170.4,,2616.2,2671.4,,748.1,770.2,,1868,1901.2,,59.2,59.3,,67.2,67.2,,51.5,51.7,,636.4,619700,,356.7,348.2,,279.8,271.5,,481.3,472.9,,295.4,292.4,,185.9,180.5,,155.1,146.8,,61.3,55.8,,93.8,91,,6.5,6.3,,6.5,6.4,,6.5,6.3,,6.9,6.8,,6.3,6.3,,7.8,7.7,,5.6,5.2,,7.6,6.8,,4.8,4.6,,9797.6,9800.5,,5461.8,5457.4,,4335.7,4343.1,,63.3,63.3,,71.9,71.8,,55,55.1,5678.9,2140.8,3538.1,15479.3,7598.1,7881.2
7/1/2002,,9167.2,9194.5,,5100.8,5116.4,,4066.4,4078.2,,6573.1,6604.1,,4357.1,4373.9,,2215.9,2230.2,,2594.1,2590.4,,743.6,742.5,,1850.4,1847.9,,59.2,59.3,,67.1,67.3,,51.5,51.7,,603.8,553000,,341.7,314.9,,262.1,238,,450.1,416.7,,286.3,267.3,,163.7,149.3,,153.8,136.3,,55.4,47.6,,98.4,88.7,,6.2,5.7,,6.3,5.8,,6.1,5.5,,6.4,5.9,,6.2,5.8,,6.9,6.3,,5.6,5,,6.9,6,,5,4.6,,9771,9747.5,,5442.5,5431.3,,4328.5,4316.2,,63.1,62.9,,71.6,71.4,,54.9,54.7,5748.6,2175,3573.7,15496.1,7606.3,7889.9
8/1/2002,,9224.1,9150.3,,5111.5,5072.8,,4112.6,4077.5,,6614.4,6537.1,,4358.4,4318,,2256,2219.1,,2609.7,2613.2,,753.1,754.8,,1856.6,1858.4,,59.5,59,,67.1,66.6,,52.1,51.6,,625.3,595200,,355.2,338.7,,270.1,256.5,,458.5,437.1,,280.9,271.3,,177.6,165.9,,166.8,158,,74.3,67.4,,92.5,90.6,,6.3,6.1,,6.5,6.3,,6.2,5.9,,6.5,6.3,,6.1,5.9,,7.3,7,,6,5.7,,9,8.2,,4.7,4.7,,9849.3,9745.4,,5466.7,5411.5,,4382.7,4334,,63.5,62.8,,71.8,71.1,,55.5,54.9,5767.5,2203,3564.5,15512.9,7614.4,7898.5
9/1/2002,,9225.9,9303.5,,5110.3,5139,,4115.6,4164.5,,6592.1,6687.6,,4361.3,4402,,2230.8,2285.6,,2633.9,2615.9,,749,737,,1884.8,1878.9,,59.4,59.9,,67,67.4,,52,52.7,,621.5,631400,,346.7,354.3,,274.8,277.2,,452.9,451.9,,281.7,283.7,,171.2,168.2,,168.6,179.5,,65,70.6,,103.7,108.9,,6.3,6.4,,6.4,6.4,,6.3,6.2,,6.4,6.3,,6.1,6.1,,7.1,6.9,,6,6.4,,8,8.7,,5.2,5.5,,9847.4,9934.9,,5457,5493.3,,4390.5,4441.7,,63.4,64,,71.6,72.1,,55.5,56.2,5594.8,2129.3,3465.5,15529.7,7622.6,7907.2
10/1/2002,,9234.5,9249.1,,5111,5123.2,,4123.5,4125.9,,6593.5,6591.5,,4354.7,4355.2,,2238.8,2236.3,,2641,2657.6,,756.3,768,,1884.7,1889.6,,59.4,59.5,,67,67.1,,52.1,52.1,,602.9,566200,,336.3,317,,266.6,249.1,,438.3,411.2,,275.4,260.7,,162.9,150.6,,164.5,154.9,,60.9,56.4,,103.7,98.6,,6.1,5.8,,6.2,5.8,,6.1,5.7,,6.2,5.9,,5.9,5.6,,6.8,6.3,,5.9,5.5,,7.4,6.8,,5.2,5,,9837.4,9815.3,,5447.3,5440.3,,4390.1,4375,,63.3,63.1,,71.4,71.3,,55.5,55.3,5732.9,2191.1,3541.8,15548.2,7631.4,7916.8
11/1/2002,,9285,9286.7,,5140,5129.3,,4145,4157.4,,6625.2,6621.5,,4377,4371.7,,2248.2,2249.8,,2659.8,2665.2,,763,757.6,,1896.8,1907.6,,59.6,59.7,,67.3,67.1,,52.3,52.4,,609.7,565900,,338,316.4,,271.7,249.5,,449.2,424.5,,271.8,258.6,,177.4,165.9,,160.5,141.4,,66.2,57.8,,94.3,83.6,,6.2,5.7,,6.2,5.8,,6.2,5.7,,6.3,6,,5.8,5.6,,7.3,6.9,,5.7,5,,8,7.1,,4.7,4.2,,9894.7,9852.7,,5478,5445.7,,4416.7,4406.9,,63.6,63.3,,71.7,71.3,,55.7,55.6,5714,2194.5,3519.6,15566.7,7640.2,7926.5
12/1/2002,,9327.6,9439.7,,5152.4,5217.3,,4175.2,4222.4,,6665.9,6787,,4396.8,4465.9,,2269,2321.1,,2661.8,2652.7,,755.6,751.5,,1906.2,1901.3,,59.8,60.6,,67.4,68.2,,52.6,53.2,,614.7,607400,,345.8,341.2,,268.8,266.2,,451.1,445.1,,280.6,273.6,,170.5,171.5,,163.6,162.2,,65.3,67.6,,98.3,94.7,,6.2,6,,6.3,6.1,,6,5.9,,6.3,6.2,,6,5.8,,7,6.9,,5.8,5.8,,8,8.2,,4.9,4.7,,9942.3,10047.1,,5498.3,5558.5,,4444,4488.6,,63.8,64.5,,71.9,72.7,,56,56.6,5538.1,2090.5,3447.5,15585.2,7649,7936.2
1/1/2003,,9380.4,9281.7,,5165.4,5140.4,,4215.1,4141.3,,6688.7,6717.4,,4408.8,4418,,2279.9,2299.3,,2691.7,2564.3,,756.5,722.4,,1935.2,1841.9,,60.1,59.5,,67.4,67.1,,53,52.1,,607.4,663000,,343.7,379.1,,263.7,283.9,,452.4,504,,281.7,312.7,,170.7,191.3,,155,159,,62,66.5,,93,92.6,,6.1,6.7,,6.2,6.9,,5.9,6.4,,6.3,7,,6,6.6,,7,7.7,,5.4,5.8,,7.6,8.4,,4.6,4.8,,9987.8,9944.7,,5509,5519.5,,4478.8,4425.2,,64,63.7,,71.9,72,,56.4,55.7,5664.3,2141.7,3522.5,15609,7661.3,7947.7
2/1/2003,,9405.9,9372.6,,5182.7,5173,,4223.2,4199.6,,6710.4,6744.8,,4422.5,4442.6,,2288,2302.2,,2695.5,2627.8,,760.3,730.4,,1935.2,1897.4,,60.2,60,,67.5,67.4,,53.1,52.8,,595.6,673200,,334.1,369.8,,261.5,303.4,,444.1,497.8,,273.8,302.4,,170.2,195.3,,151.6,175.4,,60.2,67.4,,91.3,108,,6,6.7,,6.1,6.7,,5.8,6.7,,6.2,6.9,,5.8,6.4,,6.9,7.8,,5.3,6.3,,7.3,8.4,,4.5,5.4,,10001.5,10045.8,,5516.8,5542.8,,4484.7,4502.9,,64,64.3,,71.9,72.2,,56.3,56.6,5587,2130.6,3456.4,15632.8,7673.5,7959.3
3/1/2003,,9359.7,9362.1,,5174.2,5177.8,,4185.4,4184.2,,6665.6,6642,,4405.9,4398.7,,2259.7,2243.3,,2694.1,2720.1,,768.3,779.1,,1925.7,1941,,59.8,59.8,,67.3,67.4,,52.5,52.5,,611.4,642900,,333.5,340.7,,277.9,302.2,,464.1,474.4,,279.9,280.3,,184.2,194,,147.2,168.5,,53.5,60.3,,93.7,108.2,,6.1,6.4,,6.1,6.2,,6.2,6.7,,6.5,6.7,,6,6,,7.5,8,,5.2,5.8,,6.5,7.2,,4.6,5.3,,9971.1,10005,,5507.7,5518.5,,4463.4,4486.4,,63.7,63.9,,71.7,71.8,,56,56.3,5651.6,2167.2,3484.4,15656.6,7685.7,7970.9
4/1/2003,,9357.7,9365.6,,5153.4,5161.3,,4204.4,4204.3,,6657,6623,,4386.3,4375.7,,2270.7,2247.2,,2700.7,2742.6,,767.1,785.6,,1933.7,1957.1,,59.7,59.8,,67,67.1,,52.7,52.7,,600.5,608900,,341.1,344.2,,259.5,264.7,,446.1,447.9,,277.2,277.8,,168.9,170.1,,154.4,161,,63.8,66.4,,90.6,94.6,,6,6.1,,6.2,6.3,,5.8,5.9,,6.3,6.3,,5.9,6,,6.9,7,,5.4,5.5,,7.7,7.8,,4.5,4.6,,9958.3,9974.4,,5494.5,5505.4,,4463.8,4469,,63.5,63.6,,71.4,71.6,,56,56,5696.4,2187.3,3509.1,15670.8,7692.7,7978.1
5/1/2003,,9375.4,9380.1,,5163.2,5160,,4212.2,4220.1,,6679.8,6647.9,,4400.2,4387,,2279.6,2260.9,,2695.7,2732.2,,763.1,773,,1932.6,1959.2,,59.8,59.8,,67.1,67,,52.7,52.8,,605.8,605900,,333.7,334.6,,272.1,271.3,,452.7,451.1,,273.5,273.5,,179.3,177.7,,153.1,154.8,,60.3,61.1,,92.8,93.6,,6.1,6.1,,6.1,6.1,,6.1,6,,6.3,6.4,,5.9,5.9,,7.3,7.3,,5.4,5.4,,7.3,7.3,,4.6,4.6,,9981.2,9986,,5497,5494.6,,4484.2,4491.3,,63.6,63.7,,71.4,71.4,,56.2,56.2,5699.2,2205.1,3494.1,15685.1,7699.7,7985.4
6/1/2003,,9352.1,9370.4,,5152.7,5155.4,,4199.5,4215,,6638.3,6601.4,,4392.2,4372.8,,2246.1,2228.6,,2713.8,2769.1,,760.4,782.6,,1953.4,1986.4,,59.6,59.7,,66.9,66.9,,52.5,52.7,,602.8,587600,,339.2,330.9,,263.5,256.6,,452.3,445.2,,274.5,272.1,,177.8,173.1,,150.4,142.3,,64.7,58.8,,85.7,83.5,,6.1,5.9,,6.2,6,,5.9,5.7,,6.4,6.3,,5.9,5.9,,7.3,7.2,,5.3,4.9,,7.8,7,,4.2,4,,9954.9,9958,,5491.9,5486.4,,4463,4471.6,,63.4,63.4,,71.3,71.2,,55.8,55.9,5741.4,2220.4,3521,15699.4,7706.7,7992.7
7/1/2003,,9343.2,9363.9,,5157.4,5172.9,,4185.8,4191,,6664.5,6693.2,,4389.8,4405.9,,2274.6,2287.3,,2678.7,2670.8,,767.6,767,,1911.1,1903.7,,59.4,59.6,,66.8,67,,52.3,52.4,,609.9,557600,,336.7,308.9,,273.3,248.7,,452.3,418.2,,275.6,256.4,,176.7,161.8,,157.6,139.4,,61.1,52.5,,96.5,87,,6.1,5.6,,6.1,5.6,,6.1,5.6,,6.4,5.9,,5.9,5.5,,7.2,6.6,,5.6,5,,7.4,6.4,,4.8,4.4,,9953.2,9921.5,,5494.1,5481.8,,4459,4439.7,,63.3,63.1,,71.2,71,,55.7,55.5,5794.6,2233.7,3560.9,15716.1,7715.5,8000.6
8/1/2003,,9400.1,9327,,5195.1,5156.6,,4205,4170.3,,6706.3,6631.1,,4431.2,4392.4,,2275.2,2238.8,,2693.8,2695.8,,763.9,764.2,,1929.9,1931.6,,59.7,59.3,,67.3,66.8,,52.5,52.1,,580.6,552400,,315.6,300.7,,265,251.6,,431.6,409.6,,261.2,251.1,,170.4,158.5,,148.9,142.7,,54.4,49.6,,94.6,93.1,,5.8,5.6,,5.7,5.5,,5.9,5.7,,6,5.8,,5.6,5.4,,7,6.6,,5.2,5,,6.6,6.1,,4.7,4.6,,9980.7,9879.3,,5510.7,5457.3,,4470,4422,,63.4,62.8,,71.3,70.7,,55.8,55.2,5853.5,2267,3586.6,15732.9,7724.3,8008.5
9/1/2003,,9408.5,9486.1,,5205.8,5233.2,,4202.8,4252.8,,6719,6814.2,,4441.9,4481.5,,2277.1,2332.6,,2689.5,2671.9,,763.9,751.7,,1925.6,1920.2,,59.7,60.2,,67.3,67.7,,52.4,53.1,,576.6,583800,,309.1,315.6,,267.5,268.3,,434.2,432.2,,255,256.7,,179.2,175.5,,142.4,151.6,,54.1,58.9,,88.3,92.8,,5.8,5.8,,5.6,5.7,,6,5.9,,6.1,6,,5.4,5.4,,7.3,7,,5,5.4,,6.6,7.3,,4.4,4.6,,9985.2,10069.9,,5514.9,5548.8,,4470.3,4521.1,,63.4,63.9,,71.3,71.8,,55.8,56.4,5679.7,2184.3,3495.4,15749.6,7733.1,8016.5
10/1/2003,,9431.9,9447.8,,5224.2,5236.6,,4207.7,4211.2,,6750.5,6744.6,,4463,4462.2,,2287.4,2282.5,,2681.4,2703.1,,761.2,774.4,,1920.2,1928.7,,59.8,59.9,,67.5,67.6,,52.4,52.5,,579,544300,,317.1,299.7,,261.9,244.6,,429.1,403,,263.6,249.9,,165.5,153.2,,149.8,141.3,,53.5,49.8,,96.3,91.4,,5.8,5.4,,5.7,5.4,,5.9,5.5,,6,5.6,,5.6,5.3,,6.7,6.3,,5.3,5,,6.6,6,,4.8,4.5,,10010.8,9992.1,,5541.3,5536.3,,4469.5,4455.7,,63.5,63.4,,71.6,71.5,,55.7,55.5,5775.4,2205.7,3569.7,15767.5,7742,8025.4
11/1/2003,,9429.4,9427.7,,5230,5218.1,,4199.4,4209.7,,6764,6760.3,,4473.1,4467.4,,2290.9,2293,,2665.4,2667.4,,756.9,750.7,,1908.5,1916.7,,59.7,59.7,,67.5,67.3,,52.3,52.4,,565.8,523400,,298.2,278,,267.7,245.4,,413.8,389.5,,243.7,230.7,,170.1,158.8,,152,133.9,,54.5,47.4,,97.5,86.6,,5.7,5.3,,5.4,5.1,,6,5.5,,5.8,5.4,,5.2,4.9,,6.9,6.5,,5.4,4.8,,6.7,5.9,,4.9,4.3,,9995.3,9951.1,,5528.2,5496.1,,4467.1,4455,,63.3,63,,71.3,70.9,,55.6,55.4,5834.2,2254.8,3579.4,15785.3,7750.9,8034.4
12/1/2003,,9460.1,9573.6,,5258.1,5323.8,,4202,4249.7,,6775.9,6898.1,,4485.5,4555,,2290.4,2343.1,,2684.2,2675.5,,772.6,768.8,,1911.6,1906.7,,59.9,60.6,,67.8,68.6,,52.2,52.8,,569.8,563400,,301.3,296.3,,268.5,267.2,,414.3,409,,246.2,239.2,,168.1,169.8,,155.5,154.5,,55.1,57.1,,100.4,97.4,,5.7,5.6,,5.4,5.3,,6,5.9,,5.8,5.6,,5.2,5,,6.8,6.8,,5.5,5.5,,6.7,6.9,,5,4.9,,10029.9,10137,,5559.4,5620.1,,4470.5,4516.9,,63.5,64.1,,71.6,72.4,,55.6,56.2,5666.2,2139.7,3526.5,15803.2,7759.8,8043.4
1/1/2004,,9461.3,9363.8,,5265.3,5236.8,,4196,4127,,6805.2,6827.2,,4497.1,4503.1,,2308.1,2324.1,,2656.1,2536.6,,768.2,733.7,,1887.9,1802.9,,59.8,59.2,,67.8,67.4,,52.1,51.2,,554,603800,,295.2,326.1,,258.8,277.7,,399.9,447.3,,239.9,267,,160,180.3,,154,156.5,,55.3,59.1,,98.8,97.4,,5.5,6.1,,5.3,5.9,,5.8,6.3,,5.6,6.1,,5.1,5.6,,6.5,7.2,,5.5,5.8,,6.7,7.5,,5,5.1,,10015.3,9967.6,,5560.5,5562.9,,4454.8,4404.7,,63.3,63,,71.6,71.6,,55.3,54.7,5857.2,2208.1,3649.2,15824.8,7771,8053.9
2/1/2004,,9465.3,9434.5,,5265,5257.9,,4200.3,4176.5,,6779,6818.3,,4492.7,4515.5,,2286.4,2302.7,,2686.3,2616.2,,772.3,742.4,,1914,1873.8,,59.7,59.5,,67.7,67.6,,52.1,51.8,,566.1,640800,,302.8,335.1,,263.4,305.7,,409,459.1,,245.3,270.9,,163.7,188.2,,157.1,181.7,,57.4,64.1,,99.7,117.6,,5.6,6.4,,5.4,6,,5.9,6.8,,5.7,6.3,,5.2,5.7,,6.7,7.6,,5.5,6.5,,6.9,8,,5,5.9,,10031.4,10075.2,,5567.7,5593,,4463.7,4482.2,,63.3,63.6,,71.5,71.9,,55.4,55.6,5771.2,2189.1,3582.1,15846.5,7782.1,8064.3
3/1/2004,,9498.9,9506.4,,5268.3,5273.4,,4230.6,4233,,6819.2,6796,,4508.7,4502.6,,2310.5,2293.5,,2679.7,2710.4,,759.6,770.8,,1920.1,1939.6,,59.9,59.9,,67.6,67.7,,52.4,52.4,,546.2,575900,,295.2,302.7,,251,273.1,,399.9,408.6,,241.7,242.4,,158.2,166.2,,146.4,167.3,,53.5,60.4,,92.9,106.9,,5.4,5.7,,5.3,5.4,,5.6,6.1,,5.5,5.7,,5.1,5.1,,6.4,6.8,,5.2,5.8,,6.6,7.3,,4.6,5.2,,10045.1,10082.2,,5563.5,5576.1,,4481.6,4506.1,,63.3,63.5,,71.4,71.6,,55.5,55.8,5785.9,2217.2,3568.7,15868.1,7793.3,8074.8
4/1/2004,,9508.6,9512,,5271.1,5278.1,,4237.5,4234,,6814.5,6778.7,,4503.8,4493,,2310.7,2285.7,,2694.1,2733.4,,767.3,785.1,,1926.8,1948.2,,59.9,59.9,,67.6,67.7,,52.4,52.4,,554.3,561800,,304.9,307.4,,249.3,254.4,,405.1,406.3,,245.3,245.7,,159.8,160.7,,149.2,155.5,,59.6,61.8,,89.6,93.7,,5.5,5.6,,5.5,5.5,,5.6,5.7,,5.6,5.7,,5.2,5.2,,6.5,6.6,,5.2,5.4,,7.2,7.3,,4.4,4.6,,10062.9,10073.9,,5576.1,5585.5,,4486.8,4488.4,,63.4,63.4,,71.5,71.6,,55.5,55.5,5807.3,2214.2,3593,15881.1,7799.8,8081.4
5/1/2004,,9524.6,9533.5,,5285.4,5283.1,,4239.2,4250.4,,6814.7,6785.4,,4507.5,4495.3,,2307.2,2290.1,,2709.8,2748,,777.9,787.7,,1931.9,1960.3,,59.9,60,,67.7,67.7,,52.4,52.6,,537,538100,,290.9,292.4,,246.1,245.7,,395.1,394.3,,240.1,240.9,,155,153.4,,141.9,143.8,,50.8,51.5,,91.1,92.3,,5.3,5.3,,5.2,5.2,,5.5,5.5,,5.5,5.5,,5.1,5.1,,6.3,6.3,,5,5,,6.1,6.1,,4.5,4.5,,10061.6,10071.6,,5576.3,5575.4,,4485.3,4496.1,,63.3,63.4,,71.4,71.4,,55.5,55.6,5822.6,2230.8,3591.8,15894.2,7806.2,8088
6/1/2004,,9529.5,9543.3,,5289,5290.3,,4240.6,4253,,6832.3,6793.7,,4511.6,4490.6,,2320.6,2303.1,,2697.3,2749.6,,777.3,799.7,,1919.9,1949.9,,59.9,60,,67.7,67.7,,52.4,52.5,,550.7,537300,,301.4,294,,249.3,243.3,,397.3,391.9,,241.4,239.6,,155.8,152.3,,153.5,145.4,,60,54.4,,93.5,91,,5.5,5.3,,5.4,5.3,,5.6,5.4,,5.5,5.5,,5.1,5.1,,6.3,6.2,,5.4,5,,7.2,6.4,,4.6,4.5,,10080.3,10080.6,,5590.4,5584.3,,4489.9,4496.3,,63.4,63.4,,71.6,71.5,,55.5,55.5,5826.6,2228.3,3598.3,15907.2,7812.6,8094.6
7/1/2004,,9537.9,9553.1,,5286.1,5301.7,,4251.8,4251.5,,6838.8,6865,,4511.3,4527,,2327.6,2338,,2699.1,2688.1,,774.8,774.7,,1924.3,1913.4,,59.9,60,,67.6,67.8,,52.5,52.5,,560.5,512300,,300.6,275,,260,237.3,,414,382.5,,244.6,226.9,,169.4,155.6,,146.5,129.8,,56,48.1,,90.6,81.7,,5.6,5.1,,5.4,4.9,,5.8,5.3,,5.7,5.3,,5.1,4.8,,6.8,6.2,,5.1,4.6,,6.7,5.8,,4.5,4.1,,10098.5,10065.4,,5586.7,5576.6,,4511.8,4488.8,,63.4,63.2,,71.4,71.3,,55.7,55.4,5860,2245.4,3614.6,15925.4,7822,8103.4
8/1/2004,,9535,9462.1,,5269.2,5230.5,,4265.8,4231.6,,6847.2,6773,,4506.1,4468.4,,2341.1,2304.5,,2687.8,2689.1,,763.1,762.1,,1924.7,1927,,59.8,59.3,,67.3,66.8,,52.6,52.2,,556.6,529400,,302.5,287.2,,254.2,242.1,,391.3,370.2,,236.6,226.7,,154.7,143.5,,165.3,159.1,,65.8,60.5,,99.5,98.6,,5.5,5.3,,5.4,5.2,,5.6,5.4,,5.4,5.2,,5,4.8,,6.2,5.9,,5.8,5.6,,7.9,7.4,,4.9,4.9,,10091.6,9991.4,,5571.7,5517.8,,4520,4473.7,,63.3,62.7,,71.1,70.5,,55.7,55.1,5952.2,2313.7,3638.5,15943.6,7831.4,8112.2
9/1/2004,,9591.5,9668.6,,5309,5335.4,,4282.5,4333.2,,6861.1,6956.7,,4517.3,4556.3,,2343.8,2400.4,,2730.4,2711.9,,791.7,779.2,,1938.7,1932.7,,60.1,60.6,,67.7,68,,52.7,53.4,,544.3,551300,,301.2,307.8,,243.1,243.5,,388.5,385.8,,240.3,241.5,,148.2,144.3,,155.7,165.5,,60.9,66.2,,94.9,99.2,,5.4,5.4,,5.4,5.5,,5.4,5.3,,5.4,5.3,,5.1,5,,5.9,5.7,,5.4,5.8,,7.1,7.8,,4.7,4.9,,10135.8,10219.9,,5610.2,5643.2,,4525.6,4576.7,,63.5,64,,71.6,72,,55.7,56.4,5742,2197.6,3544.3,15961.8,7840.8,8121
10/1/2004,,9645.4,9662.2,,5325.1,5337.6,,4320.3,4324.7,,6910.7,6900.9,,4535.7,4533.7,,2375,2367.3,,2734.6,2761.3,,789.4,803.9,,1945.3,1957.4,,60.4,60.5,,67.8,68,,53.1,53.2,,520.8,490100,,284.6,269.7,,236.2,220.5,,368.7,346.6,,221.1,210.2,,147.5,136.4,,152.1,143.5,,63.4,59.4,,88.7,84.1,,5.1,4.8,,5.1,4.8,,5.2,4.9,,5.1,4.8,,4.6,4.4,,5.8,5.4,,5.3,4.9,,7.4,6.9,,4.4,4.1,,10166.2,10152.4,,5609.6,5607.2,,4556.5,4545.1,,63.6,63.5,,71.5,71.4,,56,55.9,5828.5,2242.8,3585.7,15980.8,7850,8130.8
11/1/2004,,9682.8,9652.9,,5346.1,5323.6,,4336.7,4329.3,,6928.4,6928.2,,4546,4541.9,,2382.3,2386.3,,2754.4,2724.8,,800.1,781.7,,1954.3,1943.1,,60.5,60.3,,68,67.7,,53.3,53.2,,527,485900,,289.9,269.1,,237.1,216.8,,374,351.2,,231.9,218.8,,142.1,132.4,,153,134.7,,58,50.3,,95,84.4,,5.2,4.8,,5.1,4.8,,5.2,4.8,,5.1,4.8,,4.9,4.6,,5.6,5.3,,5.3,4.7,,6.8,6,,4.6,4.2,,10209.8,10138.8,,5636,5592.7,,4573.8,4546.1,,63.8,63.4,,71.7,71.2,,56.2,55.8,5861,2266.5,3594.5,15999.8,7859.2,8140.6
